Name,Price,Warranty,Status,CPU,RAM,Ổ cứng,Card VGA,Mux Switch,Màn hình,Webcam,Cổng kết nối,Trọng lượng,Pin,Hệ điều hành,Camera,MUX Swìtch,Kết nối,Cổng,Cổng Kết Nối,Cổng kết nôi,MUX Switch,Cổng giao tiếp,Mux switch,Cổng kết Nối,VGA,GPU,Mux,Kết Nối,MUXSwìtch,MUX,Mux swtich,áŧ cáŧĐng,Cáŧng Kášŋt Náŧi,Tráŧng lÆ°áŧĢng,Háŧ Äiáŧu hành,·ªî c·ª©ng,C·ªïng k·∫øt n·ªëi,Tr·ªçng l∆∞·ª£ng,H·ªá ƒëi·ªÅu hành,Cáŧng kášŋt náŧi,Ổ Cứng,Max-Q,MUXSwitch,,Đi Kèm
Laptop Gaming HP Victus 15-fa0033dx,17.990.000đ,12,Còn hàng,"Intel Core i5-12450H (8 Cores/ 12 Threads, 12MB Cache, Turbo boost 4.40GHz)",8GB DDR4 3200Mhz,512GB M.2 2280 PCIe NVMe SSD,NVIDIA GeForce RTX 3050 4GB GDDR6,Đang cập nhật...,"15.6-inch, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS",720p,2x USB Type A1x USB Type C1x HDMI 2.11x Jack 3.5mm1x RJ451x SD card1x AC Smart pin,~2.29 kg,4 Cells 70Wh,Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Gaming HP Victus 15-fa0033dx,17.990.000đ,12,Còn hàng,"Intel Core i5-12450H (8 Cores/ 12 Threads, 12MB Cache, Turbo boost 4.40GHz)",8GB DDR4 3200Mhz,512GB M.2 2280 PCIe NVMe SSD,NVIDIA GeForce RTX 3050 4GB GDDR6,Đang cập nhật...,"15.6-inch, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS",720p,2x USB Type A1x USB Type C1x HDMI 2.11x Jack 3.5mm1x RJ451x SD card1x AC Smart pin,~2.29 kg,4 Cells 70Wh,Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 AI 83JC007JVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 5-7235HS (3.20GHz up to 4.20GHz, 8MB Cache)","24GB (2x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 AI 83JC007JVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 5-7235HS (3.20GHz up to 4.20GHz, 8MB Cache)","24GB (2x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 83JC003VVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)","12GB (1x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 83JC003VVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)","12GB (1x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 83JC003YVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)","24GB (2x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 105W",Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo LOQ 2024 15ARP9 83JC003YVN,17.990.000đ,24,Còn hàng,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)","24GB (2x 12GB) SO-DIMM DDR5-4800MHz (2 slots, up to 32GB)",512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 105W",Có,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",HD 720p with E-shutter,"3x USB-A (USB 5Gbps/USB 3.2 Gen 1)1x USB-C® (USB 10Gbps/USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.41x HDMI® 2.1, up to 8K/60Hz1x Headphone/microphone combo jack (3.5mm)1x Ethernet (RJ-45)1x Power connector",~2.4 kg,"4-Cell, 60Wh",Windows 11 bản quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkbook 14 G6+ 2024,17.990.000đ,12,Còn hàng,"Intel Core Ultra 5 125H (2.3 GHz up to 4.5 Hz, 14 Cores, 18 Threads, 18MB Cache)",16GB LPDDR5x 7467MT/s,512GB SSD PCIe 4.0,Intel Arc Graphics,,"14.5″, 2.5K+ (2560x1600) IPS, LED, 90Hz, 100% sRGB",,,1.5 kg,4cell 85Wh,Windows 11 bản quyền,1080p IR,,1x USB type C1x HDMI 2.11x Thunderbolt1x Headphone / mic combo 3.52x USB type A1x TGX1x Đầu đọc thẻ SD1x RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Thinkbook 14 G6+ 2024,17.990.000đ,12,Còn hàng,"Intel Core Ultra 5 125H (2.3 GHz up to 4.5 Hz, 14 Cores, 18 Threads, 18MB Cache)",16GB LPDDR5x 7467MT/s,512GB SSD PCIe 4.0,Intel Arc Graphics,,"14.5″, 2.5K+ (2560x1600) IPS, LED, 90Hz, 100% sRGB",,,1.5 kg,4cell 85Wh,Windows 11 bản quyền,1080p IR,,1x USB type C1x HDMI 2.11x Thunderbolt1x Headphone / mic combo 3.52x USB type A1x TGX1x Đầu đọc thẻ SD1x RJ45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
